Index,WS,GAP,MTX,cap_w,ETCH_DEPTH,L1,L2,W1,W2,n_m_COMSOL,Z0_COMSOL,Mode_Score,alpha_COMSOL,alpha_ML_unetched,alpha_ML_etched,delta_ML,baseline_gap
296,58.252,14.04,9.929,11.234,0.17,12.157,5.908,3.701,8.977,1.92192,38.434,0.497523,1.88779,1.74167,1.79553,0.0538651,0.146124
481,58.264,18.09,1.875,8.511,0.142,4.584,161.625,26.129,12.212,2.13069,48.6469,0.498284,1.73928,1.6581,2.83355,1.17544,0.0811819
368,58.321,19.429,4.621,4.719,0.229,17.494,83.31,6.905,2.053,2.05096,47.6916,0.497714,1.60289,1.50856,1.7415,0.232944,0.0943317
474,58.392,17.918,11.913,6.411,0.231,32.375,63.56,22.559,18.694,1.90682,41.2936,0.497219,1.60856,1.50167,1.38839,-0.11328,0.106886
493,58.411,7.266,7.567,3.807,0.339,32.238,64.055,3.466,30.734,1.81612,32.4686,0.497722,2.85359,2.59783,2.07143,-0.526405,0.255756
102,58.47,14.808,4.11,2.597,0.307,5.377,92.872,15.278,22.573,2.00787,44.7229,0.497621,1.82618,1.70908,1.84653,0.137453,0.117107
162,58.557,12.37,3.86,9.548,0.203,23.238,33.21,24.41,38.968,2.03504,41.6358,0.497917,2.05916,1.9103,2.95939,1.04909,0.148859
454,58.707,17.076,3.796,8.329,0.215,21.468,111.966,22.473,28.774,2.06081,46.297,0.497842,1.72543,1.62401,3.07301,1.449,0.101422
353,58.748,17.154,2.185,11.746,0.255,30.26,57.689,29.542,5.041,2.09769,47.9776,0.498004,1.75679,1.66182,1.54018,-0.121636,0.094972
149,58.88,11.579,12.993,3.099,0.331,50.048,66.29,9.606,33.824,1.78395,34.5864,0.497352,2.06483,1.92364,1.54877,-0.374863,0.14119
431,59.075,8.712,4.147,1.657,0.242,22.339,56.787,37.849,26.169,1.9591,37.4909,0.497865,2.50848,2.31375,4.82434,2.5106,0.194738
323,59.091,16.423,1.833,2.974,0.174,8.755,175.226,31.296,22.791,2.11238,47.4678,0.49819,1.80843,1.72516,8.70262,6.97746,0.0832653
64,59.296,18.725,7.579,3.453,0.105,5.552,101.347,17.191,22.267,2.01098,44.1821,0.497621,1.61286,1.52255,1.69066,0.168113,0.0903063
498,59.581,17.645,2.116,5.021,0.23,3.928,94.406,8.004,18.065,2.10118,48.3078,0.498035,1.72994,1.6487,1.46378,-0.184918,0.0812384
398,59.686,13.439,7.505,9.497,0.129,13.579,123.204,44.736,13.279,1.97215,39.2149,0.497701,1.95016,1.81128,4.83918,3.0279,0.138884
420,59.882,7.286,9.542,2.835,0.117,20.171,131.578,35.23,10.023,1.83232,29.6642,0.497959,2.96594,2.72174,3.37807,0.656334,0.244201
146,60.021,9.422,7.233,6.584,0.318,18.689,67.008,15.824,43.427,1.88081,35.5622,0.497588,2.39085,2.18117,3.05489,0.873729,0.209686
430,60.436,18.835,4.352,8.609,0.122,16.645,74.906,32.476,10.658,2.08047,46.4583,0.497933,1.64543,1.55714,1.85417,0.297027,0.0882881
247,60.482,11.804,6.832,2.286,0.26,34.207,128.131,18.784,28.218,1.92618,38.7419,0.497551,2.06724,1.92104,2.35844,0.437401,0.146203
268,60.501,17.439,9.023,8.406,0.34,21.176,101.304,21.625,11.983,1.93402,42.8568,0.497168,1.63445,1.52002,1.51818,-0.00183594,0.114433
3,60.518,17.864,6.462,7.982,0.168,10.194,109.705,34.6,7.398,2.02018,44.2482,0.497623,1.6563,1.55999,2.09121,0.531227,0.0963181
472,60.77,11.772,5.308,4.14,0.136,12.327,120.209,35.657,13.104,1.99696,39.254,0.497856,2.10949,1.97701,3.4482,1.47119,0.132482
376,60.952,4.448,13.336,3.34,0.267,41.33,118.966,35.384,15.926,1.65277,21.5855,0.498232,4.39295,3.99029,3.57021,-0.420079,0.402657
462,60.997,19.528,1.374,5.738,0.14,9.351,52.685,9.046,12.096,2.15287,49.6809,0.498386,1.69167,1.6165,1.49803,-0.118472,0.0751648
49,61.266,5.933,5.118,3.142,0.326,41.469,53.749,23.641,22.471,1.86999,32.0449,0.497843,3.26187,2.97244,2.45592,-0.516515,0.289435
118,61.346,18.016,1.153,6.395,0.222,48.951,116.824,48.025,10.553,2.13602,49.1492,0.498237,1.75052,1.65415,6.13297,4.47881,0.0963697
366,61.423,19.793,11.859,2.423,0.141,26.574,131.849,50.139,2.774,1.94372,42.1083,0.49725,1.5348,1.44793,2.343,0.895068,0.0868711
189,61.522,4.649,6.423,1.508,0.248,47.106,75.4,11.116,51.365,1.82161,27.5798,0.49807,4.05121,3.67394,4.26809,0.594153,0.377268
119,61.586,8.576,1.959,7.532,0.33,38.086,114.169,12.171,20.142,2.03718,39.4129,0.49794,2.51661,2.3182,1.80706,-0.511143,0.198401
